Date,Open,High,Low,Close,Adj Close,Volume
2016-09-14,733.119995,737.849976,731.799988,733.989990,733.989990,0
2016-09-15,734.450012,744.599976,733.650024,744.409973,744.409973,0
2016-09-16,744.469971,744.469971,738.989990,743.049988,743.049988,0
2016-09-19,744.890015,752.590027,744.429993,747.479980,747.479980,0
2016-09-20,749.130005,751.340027,745.469971,745.700012,745.700012,0
2016-09-21,746.940002,755.489990,744.250000,755.340027,755.340027,0
2016-09-22,757.489990,765.770020,757.489990,765.659973,765.659973,0
2016-09-23,764.619995,765.289978,759.729980,759.780029,759.780029,0
2016-09-26,757.630005,757.630005,751.719971,751.909973,751.909973,0
2016-09-27,752.010010,756.969971,750.880005,756.890015,756.890015,0
2016-09-28,757.409973,760.390015,752.539978,760.239990,760.239990,0
2016-09-29,758.989990,758.989990,747.140015,747.530029,747.530029,0
2016-09-30,749.289978,758.000000,746.979980,755.549988,755.549988,0
2016-10-03,754.590027,754.590027,749.500000,752.799988,752.799988,0
2016-10-04,753.039978,755.570007,747.190002,749.710022,749.710022,0
2016-10-05,751.030029,757.780029,751.030029,753.940002,753.940002,0
2016-10-06,752.859985,753.309998,747.229980,752.500000,752.500000,0
2016-10-07,752.479980,752.479980,742.880005,746.530029,746.530029,0
2016-10-10,748.770020,757.130005,748.770020,755.140015,755.140015,0
2016-10-11,754.219971,754.219971,736.059998,738.960022,738.960022,0
2016-10-12,739.049988,740.729980,736.090027,736.780029,736.780029,0
2016-10-13,733.979980,733.979980,725.979980,730.719971,730.719971,0
2016-10-14,732.020020,736.250000,727.030029,727.099976,727.099976,0
2016-10-17,726.960022,728.830017,725.090027,725.330017,725.330017,0
2016-10-18,729.109985,732.880005,728.729980,729.109985,729.109985,0
2016-10-19,729.510010,732.750000,725.969971,730.390015,730.390015,0
2016-10-20,729.070007,730.159973,724.929993,729.000000,729.000000,0
2016-10-21,727.020020,729.830017,722.840027,728.719971,728.719971,0
2016-10-24,730.690002,736.679993,730.690002,733.659973,733.659973,0
2016-10-25,733.000000,733.140015,725.590027,726.210022,726.210022,0
2016-10-26,724.239990,724.780029,716.190002,717.440002,717.440002,0
2016-10-27,718.969971,719.739990,706.140015,707.030029,707.030029,0
2016-10-28,707.030029,711.679993,704.500000,706.479980,706.479980,0
2016-10-31,707.130005,709.260010,704.799988,708.330017,708.330017,0
2016-11-01,708.750000,710.340027,696.369995,700.890015,700.890015,0
2016-11-02,700.140015,700.140015,690.559998,690.739990,690.739990,0
2016-11-03,693.330017,694.109985,684.849976,685.260010,685.260010,0
2016-11-04,685.280029,697.669983,685.280029,690.340027,690.340027,0
2016-11-07,694.619995,708.580017,694.619995,707.549988,707.549988,0
2016-11-08,706.489990,713.039978,702.820007,709.940002,709.940002,0
2016-11-09,708.570007,731.859985,705.359985,731.190002,731.190002,0
2016-11-10,734.000000,746.049988,730.179993,740.700012,740.700012,0
2016-11-11,740.530029,758.719971,740.299988,758.260010,758.260010,0
2016-11-14,760.369995,770.119995,760.369995,765.739990,765.739990,0
2016-11-15,765.739990,768.770020,761.690002,767.250000,767.250000,0
2016-11-16,766.419983,769.130005,763.650024,766.590027,766.590027,0
2016-11-17,767.469971,773.630005,767.469971,772.219971,772.219971,0
2016-11-18,772.890015,775.539978,771.390015,775.020020,775.020020,0
2016-11-21,776.210022,779.840027,773.320007,778.549988,778.549988,0
2016-11-22,780.530029,783.119995,776.469971,782.780029,782.780029,0
2016-11-23,779.039978,788.200012,777.830017,788.020020,788.020020,0
2016-11-25,788.099976,791.679993,786.869995,791.679993,791.679993,0
2016-11-28,790.679993,790.679993,779.080017,779.770020,779.770020,0
2016-11-29,779.859985,782.830017,777.940002,778.340027,778.340027,0
2016-11-30,780.340027,782.309998,769.950012,770.919983,770.919983,0
2016-12-01,771.780029,775.380005,758.059998,760.849976,760.849976,0
2016-12-02,760.510010,764.650024,758.840027,761.719971,761.719971,0
2016-12-05,764.150024,775.280029,764.150024,774.989990,774.989990,0
2016-12-06,775.340027,783.809998,772.169983,783.340027,783.340027,0
2016-12-07,783.080017,790.239990,778.479980,788.799988,788.799988,0
2016-12-08,788.359985,800.840027,787.320007,800.770020,800.770020,0
